review_id,bank,app_name,pkg,score,content,content_clean,at,review_created_version,reply_content,replied_at,thumbs_up_count,source,scrape_run_id
362b7c91-55d7-45f5-bcd5-7088f6b09e3a,Dashen,Dashen Bank Mobile,com.dashen.dashensuperapp,5,"The Dashen Super App is very impressive. It is fast, easy to use, and provides smooth access to all essential banking services. Money transfer, bill payment, balance check, and other features work efficiently without issues. The design is clean and user-friendly. Great step forward in digital banking — keep up the good work, Dashen Bank!","The Dashen Super App is very impressive. It is fast, easy to use, and provides smooth access to all essential banking services. Money transfer, bill payment, balance check, and other features work efficiently without issues. The design is clean and user-friendly. Great step forward in digital banking — keep up the good work, Dashen Bank!",2025-11-05T18:11:36,1.8.1,,,219,google_play,2025-11-30T16:15:08.107712
fded7d2d-d728-45d8-bbff-d921bb72b84c,Dashen,Dashen Bank Mobile,com.dashen.dashensuperapp,4,"@Shewangizaw L. As a heavy user of the app , the issue you raised around resetting pass pin concerned me and gave it a try and found it to be safe. Basically the app will do two things: verifies one using an otp and then requires an in-person visit to bank's physical branch for final verification after resetting the password. Therefore, safe to use! I wish ""i""nformational tip was added around the reset button. Could not attach screenshot.","@Shewangizaw L. As a heavy user of the app , the issue you raised around resetting pass pin concerned me and gave it a try and found it to be safe. Basically the app will do two things: verifies one using an otp and then requires an in-person visit to bank's physical branch for final verification after resetting the password. Therefore, safe to use! I wish ""i""nformational tip was added around the reset button. Could not attach screenshot.",2025-10-06T14:43:32,1.7.4,,,38,google_play,2025-11-30T16:15:08.107712
34e38910-0b27-4048-954e-82aa66d61c43,Dashen,Dashen Bank Mobile,com.dashen.dashensuperapp,1,"This might be the worst banking app I've ever used I dont know why kind of bug it is but suddenly the apps stops working it says ""Temporarily unavailable"" for a simple feature like viewing account balance and in person visit was no help it took them longer than 2 hours to fix it and even after that 2 weeks later the same problem just because of this I'm going to stop using the bank altogether which is a shame because it's a decent bank","This might be the worst banking app I've ever used I dont know why kind of bug it is but suddenly the apps stops working it says ""Temporarily unavailable"" for a simple feature like viewing account balance and in person visit was no help it took them longer than 2 hours to fix it and even after that 2 weeks later the same problem just because of this I'm going to stop using the bank altogether which is a shame because it's a decent bank",2025-11-01T07:46:53,1.8.0,"Dear Ato Zelalem,

We apologize for the inconvenience that you faced while using our Bank's Super App. We always strive to improve the App to create a fascinating experience to our customers. If you need a personal support, you can reach out to us through our social media pages (inbox).

Thank you in advance.",2025-11-05T14:11:32,508,google_play,2025-11-30T16:15:08.107712
d29af33e-3f63-4b7e-9312-b63f7d2c6724,Dashen,Dashen Bank Mobile,com.dashen.dashensuperapp,1,What do you care about my phone's settings? Who are you to tell me what to turn off and on? It is my phone after all. This *develoler option* thing will cost you a lot of users who are willing to leave the bank once and for all. Turn this thing off. 6 you fear this is a security issue fix your side not mine.,What do you care about my phone's settings? Who are you to tell me what to turn off and on? It is my phone after all. This *develoler option* thing will cost you a lot of users who are willing to leave the bank once and for all. Turn this thing off. 6 you fear this is a security issue fix your side not mine.,2025-11-25T15:03:10,1.8.1,,,0,google_play,2025-11-30T16:15:08.107712
eeb816b9-14d4-4d91-a3b5-90b391850faa,Dashen,Dashen Bank Mobile,com.dashen.dashensuperapp,5,"The Dashen Super App is very impressive. It is fast, easy to use, and provides smooth access to all essential banking services. Money transfer, bill payment, balance check, and other features work efficiently without issues. The design is clean and user-friendly. Great step forward in digital banking — keep up the good work, Dashen Bank!..","The Dashen Super App is very impressive. It is fast, easy to use, and provides smooth access to all essential banking services. Money transfer, bill payment, balance check, and other features work efficiently without issues. The design is clean and user-friendly. Great step forward in digital banking — keep up the good work, Dashen Bank!..",2025-11-19T18:51:58,1.7.4,,,52,google_play,2025-11-30T16:15:08.107712
360a6c12-d948-4ce0-aea6-267b8eaaa743,Dashen,Dashen Bank Mobile,com.dashen.dashensuperapp,3,it has improved very much lately its working more and getting better but yet it is not fully fixed some time at night it doesn't work..i think the problem is it was launched too early.,it has improved very much lately its working more and getting better but yet it is not fully fixed some time at night it doesn't work..i think the problem is it was launched too early.,2025-11-04T12:32:40,1.8.1,,,134,google_play,2025-11-30T16:15:08.107712
9504f5cc-7f16-4fe0-8ba5-f76eef162f8b,Dashen,Dashen Bank Mobile,com.dashen.dashensuperapp,5,"its fast and easy to communicate to the app and its available all area keep it up.i will make Happy for this application thank you dashen bank for your effort,commitment and dedication. i appricated your work.","its fast and easy to communicate to the app and its available all area keep it up.i will make Happy for this application thank you dashen bank for your effort,commitment and dedication. i appricated your work.",2025-11-26T16:02:58,1.8.1,,,0,google_play,2025-11-30T16:15:08.107712
d18aa410-4dc1-4c26-8f7d-a866f5b498ba,Dashen,Dashen Bank Mobile,com.dashen.dashensuperapp,5,"i love the app it features are perfect, but it asks to update too many times to activate your need to visit a nearest branch and that takes time. other than that the app is great I like it","i love the app it features are perfect, but it asks to update too many times to activate your need to visit a nearest branch and that takes time. other than that the app is great I like it",2025-11-05T06:25:51,1.8.1,,,156,google_play,2025-11-30T16:15:08.107712
898109d7-385c-4fc9-b8a6-bd6e2a303a39,Dashen,Dashen Bank Mobile,com.dashen.dashensuperapp,1,NASTY BANK . EVEN THE SUPPER APP IS NOT WORKING WELL. WHEN I AM CALLING THEM THEY ARE NOT RESPONSE . PLEASE DON'T USE THIS APP BECAUSE YOU WILL LOSS YOU TIME ;ENERGY AND EVERYTHING . HOPELESS Bank .,NASTY BANK . EVEN THE SUPPER APP IS NOT WORKING WELL. WHEN I AM CALLING THEM THEY ARE NOT RESPONSE . PLEASE DON'T USE THIS APP BECAUSE YOU WILL LOSS YOU TIME ;ENERGY AND EVERYTHING . HOPELESS Bank .,2025-11-10T17:19:34,1.8.1,,,2,google_play,2025-11-30T16:15:08.107712
9a6e8134-27c5-45f1-8dae-6c6fb1827281,Dashen,Dashen Bank Mobile,com.dashen.dashensuperapp,1,I have one issue though what if the mobile phone with the sim is stolen and have no pattern or pin. The app allows to reset the pin directly without 2FA like finger print just by sending sms. which is a big gap. It should be addressed I didn't expect but it does and no trust at all.,I have one issue though what if the mobile phone with the sim is stolen and have no pattern or pin. The app allows to reset the pin directly without 2FA like finger print just by sending sms. which is a big gap. It should be addressed I didn't expect but it does and no trust at all.,2025-09-28T18:50:25,1.7.4,"Thank you for raising this concern.
After a PIN reset, the customer’s account is automatically unlinked from the Super App. This means that even if someone resets the PIN, they cannot access the account directly. To regain access, the customer must visit any Dashen branch for account reactivation, where identity verification is required.",2025-10-08T17:18:22,343,google_play,2025-11-30T16:15:08.107712
