review_id,review,sentiment_label,sentiment_score,themes,bank
28f229b5-0026-41b9-a1eb-b76e74736f63,Make it user friendly.,positive,0.4939,['UI/UX & Features'],CBE
68d8daea-db47-4e23-a692-755173dea983,maaliif daddafee install gaafata,neutral,0.0,['Other'],CBE
ee0dbb0e-4eb0-47b5-9874-c37877493f99,good app,positive,0.4404,"['UI/UX & Features', 'Overall Feedback']",CBE
5112423d-e618-44ba-ba49-62677cb76cd6,This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,positive,0.5198,"['Transactions & Performance', 'UI/UX & Features']",CBE
bcb34681-1dd4-4781-b400-4393bb10b1d9,why didn't work this app?,neutral,0.0,['UI/UX & Features'],CBE
c69f051a-00f8-4144-8423-b7ebcd328d2d,The app makes our life easier. Thank you CBE!,positive,0.68,"['UI/UX & Features', 'Customer Support']",CBE
d2995fb9-63c6-4bfc-8d3c-93a0ee9dba8f,this app very bad 👎,negative,-0.5849,"['UI/UX & Features', 'Overall Feedback']",CBE
f8002d06-b5c5-4ed1-9d51-a9a379304cf8,the most advanced app. but how to stay safe?,positive,0.6701,['UI/UX & Features'],CBE
81000db5-aa51-467e-826c-fc96160e96a8,Good application,positive,0.4404,"['UI/UX & Features', 'Overall Feedback']",CBE
3d88a334-958c-4717-9f97-c5d46359e054,It is nice app,positive,0.4215,['UI/UX & Features'],CBE
99d376ea-4824-4af9-a093-27360acc3a5c,best,positive,0.6369,['Other'],CBE
f1861daf-a1ed-407a-9e7c-295edbb3877d,good app,positive,0.4404,"['UI/UX & Features', 'Overall Feedback']",CBE
fd178fb7-7026-4d02-98a0-5c86c3bd56f5,"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",negative,-0.8979,['Account & Access Issues'],CBE
571c66c6-fd18-437b-b8e5-8c443e9db2df,nice app...,positive,0.4215,['UI/UX & Features'],CBE
7b5b3f8c-a0f4-4a15-973a-ff5971ad15fb,very good banking service and fast service,positive,0.4927,"['Customer Support', 'Overall Feedback']",CBE
3a75b79a-002f-4fc2-b6f0-dd8d187e8663,thanks blc this app help me to use all time,positive,0.6808,"['Transactions & Performance', 'UI/UX & Features', 'Customer Support']",CBE
6518498e-441c-407d-b546-35a12a98645a,good,positive,0.4404,['Overall Feedback'],CBE
f2f0cff2-6181-4a3a-926f-5b3491ca4cf8,why we can't send money to other people telebirr wallets??,neutral,0.0,['Other'],CBE
00b0b11a-7698-4ce2-8d6e-e6166ee2a39b,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,neutral,0.0,['Other'],CBE
ad22eeae-dc82-4954-983c-472a262ddc6a,በጣም ቀላልና ምቹ ነው።,neutral,0.0,['Other'],CBE
ad9f4094-ff79-4353-a8b0-d00cfba75ed5,wow,positive,0.5859,['Overall Feedback'],CBE
07a6da77-35b8-4ea4-8138-90770842ff0e,good,positive,0.4404,['Overall Feedback'],CBE
cd144ce6-efeb-41c2-8247-e57a64bb0181,nice,positive,0.4215,['UI/UX & Features'],CBE
8d4577a0-0e73-4113-9479-5764db25dcb7,you are the reason why i got ye chogara himem,neutral,0.0,['Other'],CBE
f077c10c-a958-4812-a779-1077c52fbf45,it is so smart app i recommend it for everyone,positive,0.7177,['UI/UX & Features'],CBE
efddfaa5-0542-45ef-80ae-8183cf70bdb0,excellent,positive,0.5719,['Overall Feedback'],CBE
3a277a8e-a6b2-4dac-adb4-8fb592d1c859,good,positive,0.4404,['Overall Feedback'],CBE
